id,group,price,company,date,tag,ser_id,discount,Name,Positive,Negative,Rating,Current,24h Peak,All-Time Peak
368500,54,39.99,Ubisoft,2015,4667,2,1.0,Assassin's Creed Syndicate,"7,681","2,470",0.7406999999999999,492,841,"4,729"
378540,8,29.99,Focus Home Interactive,2017,4115,0,0.0,The Surge,"3,557","1,156",0.7348,71,173,"5,978"
381210,44,19.99,Behaviour Digital Inc.,2016,3978,0,1.0,Dead by Daylight,"166,645","47,993",0.7695000000000001,"13,935","25,746","75,655"
381210,44,19.99,Behaviour Digital Inc.,2016,4345,0,1.0,Dead by Daylight,"166,645","47,993",0.7695000000000001,"13,935","25,746","75,655"
381590,8,2.99,ASBO Interactive,2015,123332,0,0.0,Shred! Downhill Mountain Biking,42,37,0.5232,,,
383120,8,9.99,Eleon Game Studios,2015,1755,0,0.0,Empyrion - Galactic Survival,"12,000","3,010",0.7829,"1,598","3,074","7,118"
384680,70,3.99,Mango Protocol,2015,6815,0,1.0,MechaNika,468,35,0.8643000000000001,,,
385760,28,59.99,2K,2016,1746,0,0.0,NBA 2K17,"4,393","3,945",0.5251,302,530,"14,905"
388090,53,7.99,Scott Cawthon,2015,3978,5,1.0,Five Nights at Freddy's 4,"6,372",515,0.8955,6,16,"1,675"
388410,30,29.99,THQ Nordic,2015,4345,0,0.0,Darksiders II Deathinitive Edition,"6,333","2,112",0.7334999999999999,132,309,"2,927"
390030,8,14.99,Adult Swim Games,2017,4115,0,0.0,DESYNC,292,77,0.7422,,,
392110,8,13.59,SEGA,2017,1755,0,0.0,Endless Space 2,"9,058","2,122",0.7915000000000001,590,"1,132","53,435"
393190,3,13.99,OhNoo Studio,2018,6815,0,0.0,TSIOQUE,570,10,0.9117000000000001,2,5,58
394360,28,39.99,Paradox Interactive,2016,1678,0,0.0,Hearts of Iron IV,"43,742","5,681",0.8702,"10,345","21,906","46,806"
397900,8,0.0,8Floor,2017,1770,0,0.0,Business Tour - Online Multiplayer Board Game,"13,454","6,209",0.6748000000000001,328,"2,320","7,707"
400630,8,14.99,SOEDESCO Publishing,2016,4726,0,0.0,Wuppo,"1,863",99,0.9037000000000001,24,38,398
400630,8,14.99,SOEDESCO Publishing,2016,6815,0,0.0,Wuppo,"1,863",99,0.9037000000000001,24,38,398
400800,42,19.99,Milestone S.r.l.,2016,198913,0,0.0,MXGP2 - The Official Motocross Videogame,285,118,0.6731999999999999,3,18,437
401680,39,1.43,Running With Scissors,2016,4667,0,1.0,POSTAL Redux,"1,240",132,0.8579000000000001,3,17,628
404410,7,0.0,Michael Zahniser,2015,1755,0,0.0,Endless Sky,"3,576",372,0.8722,58,91,"3,035"
405500,8,19.99,Team17 Digital Ltd,2016,7038,0,0.0,Dangerous Golf,261,312,0.4621,,,
406970,24,14.99,ComonGames,2016,4115,0,0.0,The Uncertain: Last Quiet Day,"1,077",264,0.7685,,,
414340,11,29.99,Ninja Theory,2017,4604,0,0.0,Hellblade: Senua's Sacrifice,"22,459","2,013",0.8978,114,329,"5,653"
416000,8,13.99,Tropical Puppy,2017,3964,0,0.0,Fantasy Farming: Orange Season,105,6,0.8382,6,20,30
417750,38,2.09,Volumetric Games,2016,3978,0,0.0,Left Alone,245,74,0.7208,1,1,75
418370,70,29.99,"CAPCOM Co., Ltd.",2017,3978,7,1.0,RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil,"19,950","1,773",0.8976999999999999,215,344,"20,449"
431240,68,5.99,Team17 Digital Ltd,2016,7038,0,1.0,Golf With Your Friends,"18,439","1,875",0.8870999999999999,291,874,"2,499"
431730,8,14.99,Igara Studio,2016,3964,0,0.0,,,,,,,
434460,8,14.99,SEGA,2017,1645,0,0.0,Rock of Ages 2,"1,552",352,0.7827,12,40,"2,273"
438740,26,19.99,Gun Media,2017,4345,0,1.0,Friday the 13th: The Game,"27,182","9,586",0.7292000000000001,"1,099","2,681","16,096"
447530,25,14.99,Ysbryd Games,2016,4115,0,0.0,VA-11 Hall-A: Cyberpunk Bartender Action,"14,409",323,0.9515,292,565,"1,574"
452570,8,19.99,Adult Swim Games,2017,6815,0,1.0,Battle Chef Brigade,"1,161",39,0.9122,13,23,535
454140,8,24.99,Mikori Games,2019,5914,0,0.0,First Person Tennis - The Real Tennis Simulator,147,12,0.8323999999999999,1,6,11
458710,8,9.99,Ironhide Game Studio,2016,1645,0,1.0,Kingdom Rush Frontiers,"2,696",114,0.9174,75,101,981
458830,8,3.99,Cherry Pop Games,2016,17927,0,0.0,Snooker Nation Championship,121,85,0.5698,1,8,107
460950,12,14.99,Devolver Digital,2019,4115,0,0.0,Katana ZERO,"8,398",156,0.9501999999999999,225,429,"1,575"
462200,41,3.99,EfimovMax,2017,3964,0,1.0,Dungetris,418,112,0.745,3,6,"1,560"
463350,59,0.49,0,2016,5611,0,0.0,Storm of Spears,338,122,0.6977,,,
466270,8,0.0,Michael Pelletier,2016,4667,6,0.0,Half-Life: A Place in the West,540,67,0.833,,,
470220,51,9.99,Ubisoft Entertainment,2016,1770,0,1.0,UNO,"6,847","2,523",0.716,327,907,"2,309"
485510,62,49.99,"KOEI TECMO GAMES CO., LTD.",2017,4604,0,1.0,Nioh: Complete Edition,"11,109","2,928",0.775,884,"1,601","10,649"
487770,58,5.99,Wizard Games Inc,2016,1746,0,0.0,Hoops VR,46,12,0.7071999999999999,,,
489940,8,19.99,Square Enix,2019,1678,0,1.0,BATTALION 1944,"8,831","4,808",0.6391,877,"2,974","16,771"
496790,8,9.99,"What Up Games, LLC",2018,1746,0,0.0,Nothin' But Net,4,1,0.6251,,,
502720,33,4.99,Schmidt Workshops,2018,1755,0,0.0,Star Explorers,28,9,0.6709,,,
506610,65,7.99,Scott Cawthon,2016,3978,5,1.0,Five Nights at Freddy's: Sister Location,"4,842",503,0.8753,11,44,"3,549"
513650,8,0.0,IDC/Games,2016,1774,0,0.0,Zula Europe,"4,864","2,362",0.6612,349,"1,158","4,045"
